Year,Teams,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,Total FGA,Total FGM,Total FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
1985,28,18,17,221,193,274,218,233,138,80,30,826,596,72.20%,1113,1073,96.40%,,,,,
1986,28,26,24,193,171,245,193,258,138,93,33,815,559,68.60%,1059,1026,96.90%,,,,,
1987,28,14,14,211,196,248,181,258,140,51,20,784,551,70.30%,1044,1010,96.70%,,,,,
1988,28,22,21,216,193,246,190,242,139,70,28,796,571,71.70%,1045,1004,96.10%,,,,,
1989,28,27,27,216,204,252,199,273,150,61,21,829,601,72.50%,1049,1025,97.70%,,,,,
1990,28,27,26,203,194,250,196,235,146,78,28,793,590,74.40%,1024,997,97.40%,,,,,
1991,28,31,30,221,205,262,205,240,141,94,42,848,623,73.50%,941,919,97.70%,2000,118370,419,21.00%,59.2
1992,28,21,21,201,181,253,192,226,131,72,36,773,561,72.60%,952,936,98.30%,1893,114011,447,23.60%,60.2
1993,28,28,28,246,229,263,219,222,136,120,61,879,673,76.60%,901,876,97.20%,1940,116981,505,26.00%,60.3
1994,28,22,22,239,229,255,213,228,152,66,24,811,640,78.90%,902,891,98.80%,2084,125610,146,7.00%,60.3
1995,30,19,18,265,243,318,262,261,169,91,46,954,738,77.40%,1049,1030,98.20%,2354,144992,214,9.10%,61.6
1996,30,20,20,281,266,288,244,267,172,58,30,915,732,80.00%,991,977,98.60%,2279,145024,269,11.80%,63.6
1997,30,20,20,257,243,280,235,271,169,78,41,906,708,78.10%,1007,993,98.60%,2282,144736,316,13.80%,63.4
1998,30,22,20,230,219,254,216,296,206,87,47,889,708,79.60%,1049,1031,98.30%,2306,148541,374,16.20%,64.4
1999,31,25,25,261,247,289,231,302,204,87,42,964,749,77.70%,1063,1051,98.90%,2365,145491,239,10.10%,61.5
2000,31,31,29,240,224,282,232,297,208,68,38,917,731,79.70%,1063,1053,99.10%,2256,138879,209,9.30%,61.6
2001,31,10,9,267,253,271,230,338,202,73,38,959,732,76.30%,1027,1008,98.10%,2251,137242,212,9.40%,61
2002,32,13,12,257,242,291,243,305,196,84,44,951,737,77.50%,1165,1148,98.50%,2369,144246,186,7.90%,60.9
2003,32,6,6,281,270,277,229,297,206,93,45,954,756,79.20%,1128,1110,98.40%,2364,144142,176,7.40%,61
2004,32,12,12,252,243,259,211,257,185,91,53,870,703,80.80%,1189,1179,99.20%,2363,144413,205,8.70%,61.1
